term,label,definition
http://purl.obolibrary.org/obo/DDPHENO_0000263,aberrant nucleus morphology,"Deviation from the normal, usual, or expected morphology of the nucleus."
http://purl.obolibrary.org/obo/DDPHENO_0000010,abolished post-transciptional gene silencing by RNA,Complete inability for post-transciptional gene silencing by RNA.
http://purl.obolibrary.org/obo/DDPHENO_0001385,increased cytochrome C oxidase activity,"Increase in extent, amount, or degree of cytochrome C oxidase activity."
http://purl.obolibrary.org/obo/DDPHENO_0000276,increased resistance to DNA-damaging agents,"Increased tolerance of the normal, usual, or expected events in the presence of DNA damaging agents."
http://purl.obolibrary.org/obo/DDPHENO_0001132,decreased activation of adenylate cyclase,"Reduction in extent, amount, or degree of activation of adenylate cyclase."
http://purl.obolibrary.org/obo/DDPHENO_0000570,abolished lipid droplet formation,Complete inability to form lipid droplets.
http://purl.obolibrary.org/obo/DDPHENO_0001398,decreased period cAMP wave formation,Shortened duration for cAMP wave formation.
http://purl.obolibrary.org/obo/DDPHENO_0000289,increased infection rate by a gram-negative pathogenic bacterium,"Increase in extent, amount, or degree of the infection rate by a gram-negative pathogenic bacterium."
http://purl.obolibrary.org/obo/DDPHENO_0001145,decreased positive regulation of Rab GTPase activity,"Reduction in extent, amount, or degree of positive regulation of Rab GTPase activity."
http://purl.obolibrary.org/obo/DDPHENO_0000583,aberrant mating type determination,"Deviation from the normal, usual, or expected events when determining the mating type of a cell."
http://purl.obolibrary.org/obo/DDPHENO_0000330,abolished cAMP binding,Complete absence of cAMP binding.
http://purl.obolibrary.org/obo/DDPHENO_0001158,increased cellulose biosynthesis,"Increase in extent, amount, or degree of cellulose biosynthesis."
http://purl.obolibrary.org/obo/DDPHENO_0000049,abolished phosphatidylinositol biosynthesis,Complete inability for the production of  phosphatidylinositol.
http://purl.obolibrary.org/obo/DDPHENO_0001452,abolished protein serine phosphorylation,Complete inability for protein serine phosphorylation.
http://purl.obolibrary.org/obo/DDPHENO_0000343,abolished activation of GTPase activity,Complete inability for activation of GTPase activity.
http://purl.obolibrary.org/obo/DDPHENO_0001465,aberrant regulation of chemotaxis to cAMP in response to DIF-2,"Deviation from the normal, usual, or expected events during the regulation of the locomotory response to cAMP in response to DIF-2."
http://purl.obolibrary.org/obo/DDPHENO_0000356,decreased endocytic recycling,"Reduction in extent, amount, or degree of endocytic recycling."
http://purl.obolibrary.org/obo/DDPHENO_0001212,increased translation,"Increase in extent, amount, or degree of translation."
http://purl.obolibrary.org/obo/DDPHENO_0000103,decreased localization to nucleolus,Reduction in amount or accumulation in the nucleolus.
http://purl.obolibrary.org/obo/DDPHENO_0000191,decreased prestalk cell differentiation,"Reduction in extent, amount, or degree of differentiation into prestalk cells."
http://purl.obolibrary.org/obo/DDPHENO_0001478,abolished cell-cell adhesion,Complete inability of cell-cell adhesion.
http://purl.obolibrary.org/obo/DDPHENO_0000369,decreased prestalk gene expression,"Reduction in extent, amount, or degree of prestalk gene expression."
http://purl.obolibrary.org/obo/DDPHENO_0001225,aberrant negative chemotaxis,"Deviation from the normal, usual, or expected events during the locomotory response towards a decreasing chemical concentration."
http://purl.obolibrary.org/obo/DDPHENO_0000116,increased cell motility,"Increase in extent, amount, or degree of cell motility."
http://purl.obolibrary.org/obo/DDPHENO_0001238,aberrant post-lysosome organization and biogenesis,"Deviation from the normal, usual, or expected events during post-lysosome organization and biogenesis."
http://purl.obolibrary.org/obo/DDPHENO_0000129,increased resistance to naringenin,"Increase in extent, amount, or degree of resistance to the flavonoid naringenin."
http://purl.obolibrary.org/obo/DDPHENO_0001532,aberrant positive regulation of vegetative growth,"Deviation from the normal, usual, or expected events during the positive regulation of vegetative growth."
http://purl.obolibrary.org/obo/DDPHENO_0000423,decreased infection rate by Legionella pneumophila,"Reduction in extent, amount, or degree of the infection rate by Legionella pneumophila."
http://purl.obolibrary.org/obo/DDPHENO_0001086,increased chemotaxis to cAMP,"Increase in extent, amount, or degree of chemotaxis in response to cAMP."
http://purl.obolibrary.org/obo/DDPHENO_0001380,increased intracellular ammonia level,Increase in amount or accumulation of intracellular ammonia.
http://purl.obolibrary.org/obo/DDPHENO_0000271,decreased number of mitochondria,Quantitative reduction in mitochondria.
http://purl.obolibrary.org/obo/DDPHENO_0000449,obsolete_no synthetic interaction,OBSOLETE.
http://purl.obolibrary.org/obo/DDPHENO_0001305,abolished cAMP-induced cGMP pulse,Complete inability to produce a cGMP pulse upon cAMP stimulation.
http://purl.obolibrary.org/obo/DDPHENO_0001099,delayed DIF production,Late onset or slower progression in the production of DIF.
http://purl.obolibrary.org/obo/DDPHENO_0001393,abolished protein localization,Complete inability to localize a protein to a cellular compartment or structure.
http://purl.obolibrary.org/obo/DDPHENO_0000284,aberrant infection rate by a gram-positive pathogenic bacterium,"Deviation from the normal, usual, or expected events during infection of Dictyostelium by a gram-positive pathogenic  bacterium."
http://purl.obolibrary.org/obo/DDPHENO_0001140,aberrant regulation of Ras GTPase activity,"Deviation from the normal, usual, or expected events during the regulation of the activity of a Ras GTPase."
http://purl.obolibrary.org/obo/DDPHENO_0000031,abolished rate of endocytosis,Complete inability for endocytosis.
http://purl.obolibrary.org/obo/DDPHENO_0001318,aberrant peptidyl-proline modification,"Deviation from the normal, usual, or expected during peptidyl-proline modification."
http://purl.obolibrary.org/obo/DDPHENO_0000209,aberrant response to osmotic stress,"Deviation from the normal, usual, or expected events during the response to osmotic stress."
http://purl.obolibrary.org/obo/DDPHENO_0000503,precocious culmination,Early onset or faster progression through culmination.
http://purl.obolibrary.org/obo/DDPHENO_0001153,increased positive regulation of Ras GTPase activity,"Increase in extent, amount, or degree of positive regulation of Ras GTPase activity."
http://purl.obolibrary.org/obo/DDPHENO_0000297,increased protein binding,"Increased in extent, amount, or degree of binding a protein."
http://purl.obolibrary.org/obo/DDPHENO_0000044,aberrant SDF production,"Deviation from the normal, usual, or expected during SDF production, peptides that promote terminal spore differentiation."
http://purl.obolibrary.org/obo/DDPHENO_0000516,abolished prespore cell differentiation,Complete inability for differentiation of prespore cells.
http://purl.obolibrary.org/obo/DDPHENO_0001166,increased prestalk B cell differentiation,"Increase in extent, amount, or degree of differentiation into prestalk B cells."
http://purl.obolibrary.org/obo/DDPHENO_0000057,decreased localization to cell cortex,Reduction in amount or accumulation at the cell cortex.
http://purl.obolibrary.org/obo/DDPHENO_0000574,increased double-strand break repair via homologous recombination,"Increased tolerance of the normal, usual, or expected events in double-strand break repair of DNA via homologous recombination."
http://purl.obolibrary.org/obo/DDPHENO_0000351,abolished macropinocytosis,Complete inability to perform macropinocytosis.
http://purl.obolibrary.org/obo/DDPHENO_0000529,increased stalk cell differentiation,"Increase in extent, amount, or degree of differentiation into stalk cells."
http://purl.obolibrary.org/obo/DDPHENO_0001179,decreased F-actin polymerization at the leading edge,"Reduction in extent, amount, or degree of F-actin polymerization in the area closest to the direction of movement in a motile cell."
http://purl.obolibrary.org/obo/DDPHENO_0001473,aberrant glucose catabolic process,"Deviation from the normal, usual, or expected events during glucose catabolism."
http://purl.obolibrary.org/obo/DDPHENO_0000364,increased macropinocytosis,"Increase in extent, amount, or degree of macropinocytosis."
http://purl.obolibrary.org/obo/DDPHENO_0001220,aberrant nucleus localization,"Deviation from the normal, usual, or expected localization of the nucleus."
http://purl.obolibrary.org/obo/DDPHENO_0000111,increased aggregate size,Increase in relative or proportionate dimensions of the aggregate.
http://purl.obolibrary.org/obo/DDPHENO_0001486,aberrant spindle elongation,"Deviation from the normal, usual, or expected during spindle elongation."
http://purl.obolibrary.org/obo/DDPHENO_0000377,increased filopodium formation,"Increase in extent, amount, or degree of formation of filopodia."
http://purl.obolibrary.org/obo/DDPHENO_0001233,decreased protein secretion,"Reduction in extent, amount, or degree of protein secretion."
http://purl.obolibrary.org/obo/DDPHENO_0000124,increased cAMP-induced cAMP pulse,"Increase in extent, amount, or degree of cAMP pulse in response to cAMP."
http://purl.obolibrary.org/obo/DDPHENO_0001499,increased protein localization to cell surface,Increase in amount or accumulation of a protein to the cell surface.
http://purl.obolibrary.org/obo/DDPHENO_0001246,abolished cAMP wave formation,Complete inability for cAMP wave formation.
http://purl.obolibrary.org/obo/DDPHENO_0000137,decreased basal F-actin level,Reduction in amount or accumulation of basal F-actin.
http://purl.obolibrary.org/obo/DDPHENO_0001081,decreased number of spherical mitochondria,Quantitative decrease in spherical mitochondria.
http://purl.obolibrary.org/obo/DDPHENO_0001259,decreased binding,"A reduction in extent, amount, or degree of binding."
http://purl.obolibrary.org/obo/DDPHENO_0001006,aberrant phagocytosis,"Deviation from the normal, usual, or expected events during phagocytosis."
http://purl.obolibrary.org/obo/DDPHENO_0000444,increased intracellular counting factor component(s) level,Increase in amount or accumulation of intracellular counting factor component(s).
http://purl.obolibrary.org/obo/DDPHENO_0001300,abolished protein kinase B activity,Complete absence of protein kinase B activity.
http://purl.obolibrary.org/obo/DDPHENO_0001094,precocious response to DIF,Early onset or faster progression in the response to DIF.
http://purl.obolibrary.org/obo/DDPHENO_0000457,aberrant phosphorylation of actin,"Deviation from the normal, usual, or expected events during actin phosphorylation."
http://purl.obolibrary.org/obo/DDPHENO_0001313,aberrant peptidyl-proline 4-dioxygenase activity,"Deviation from the normal, usual, or expected activity of peptidyl-proline 4-dioxygenase."
http://purl.obolibrary.org/obo/DDPHENO_0000204,decreased extracellular counting factor component(s) level,Reduction in amount or accumulation of extracellular counting factor component(s).
http://purl.obolibrary.org/obo/DDPHENO_0001326,increased protein modification,Increase in level of modification of a protein.
http://purl.obolibrary.org/obo/DDPHENO_0001161,decreased superoxide production,"Reduction in extent, amount, or degree of production of superoxide."
http://purl.obolibrary.org/obo/DDPHENO_0000052,increased response to hypo-osmotic stress,"Increase in extent, amount, or degree of the response to hypo=osmotic stress."
http://purl.obolibrary.org/obo/DDPHENO_0001339,abolished secretion of lysosomal enzyme,Complete inability for secretion of lysosomal enzyme.
http://purl.obolibrary.org/obo/DDPHENO_0000524,increased sorting to prestalk region,"Increase in extent, amount, or degree of cell sorting to the prestalk region during the slug stage."
http://purl.obolibrary.org/obo/DDPHENO_0001174,increased aspidocyte differentiation,"Increase in extent, amount, or degree of differentiation into aspidocytes."
http://purl.obolibrary.org/obo/DDPHENO_0000065,decreased localization to coated pits,Reduction in amount or accumulation at coated pits.
http://purl.obolibrary.org/obo/DDPHENO_0000537,increased extracellular ammonia level,Increase in amount or accumulation of extracellular ammonia.
http://purl.obolibrary.org/obo/DDPHENO_0001187,"decreased intracellular 2,3-bisphosphoglycerate level","Reduction in amount or accumulation of intracellular 2,3-bisphosphoglycerate."
http://purl.obolibrary.org/obo/DDPHENO_0000078,increased localization to microtubules,Increase in amount or accumulation at the microtubules.
http://purl.obolibrary.org/obo/DDPHENO_0001481,aberrant actin cytoskeleton organization,"Deviation from the normal, usual, or expected events during organization of the actin cytoskeleton."
http://purl.obolibrary.org/obo/DDPHENO_0001406,decreased protein localization to coated pits,Reduction in amount or accumulation of a protein to coated pits.
http://purl.obolibrary.org/obo/DDPHENO_0001494,aberrant intracellular distribution of mitochondria,"Deviation from the normal, usual, or expected events during intracellular distribution of mitochondria."
http://purl.obolibrary.org/obo/DDPHENO_0000385,abolished cytokinesis,Complete inability for cytokinesis.
http://purl.obolibrary.org/obo/DDPHENO_0001241,aberrant protein level,"Deviation from the normal, usual, or expected level of proteins."
http://purl.obolibrary.org/obo/DDPHENO_0000132,increased basal F-actin level,Increase in amount or accumulation of basal F-actin.
http://purl.obolibrary.org/obo/DDPHENO_0001419,aberrant spindle organization,"Deviation from the normal, usual, or expected during spindle organization."
http://purl.obolibrary.org/obo/DDPHENO_0000398,obsolete_no synthetic interaction observed between rasS and gefB,OBSOLETE.
http://purl.obolibrary.org/obo/DDPHENO_0001254,increased MAP kinase activation,"Increase in extent, amount, or degree of activation of a MAP kinase."
http://purl.obolibrary.org/obo/DDPHENO_0000145,decreased spore viability,"Reduction in extent, amount, or degree of spore viability."
http://purl.obolibrary.org/obo/DDPHENO_0001001,aberrant initiation of development,"Deviation from the normal, usual, or expected during the initiation of development."
http://purl.obolibrary.org/obo/DDPHENO_0001267,aberrant cell death,"Deviation from the normal, usual, or expected events during regular cell death."
http://purl.obolibrary.org/obo/DDPHENO_0000158,decreased aggregate size,Reduction in relative or proportionate dimensions of the aggregate.
http://purl.obolibrary.org/obo/DDPHENO_0001014,aberrant slug formation,"Deviation from the normal, usual, or expected events during slug formation."
http://purl.obolibrary.org/obo/DDPHENO_0001027,aberrant pseudopod formation,"Deviation from the normal, usual, or expected events during pseudopod formation."
http://purl.obolibrary.org/obo/DDPHENO_0001321,aberrant peptidyl-proline hydroxylation,"Deviation from the normal, usual, or expected during peptidyl-proline hydroxylation."
http://purl.obolibrary.org/obo/DDPHENO_0000212,aberrant macroautophagy,"Deviation from the normal, usual, or expected events during macroautophagy."
http://purl.obolibrary.org/obo/DDPHENO_0000478,increased lateral pseudopod formation,"Increase in extent, amount, or degree of formation of lateral pseudopods."
http://purl.obolibrary.org/obo/DDPHENO_0001334,increased catalase activity,"Increase in extent, amount, or degree of catalase activity."
http://purl.obolibrary.org/obo/DDPHENO_0000225,decreased slug migration,"Reduction in extent, amount, or degree of slug migration."
http://purl.obolibrary.org/obo/DDPHENO_0000060,increased localization to cell surface,Increase in amount or accumulation on the cell surface.
http://purl.obolibrary.org/obo/DDPHENO_0001347,decreased protein theronine phosphorylation,Reduction in amount or accumulation of threonine phosphorylation of a protein.
http://purl.obolibrary.org/obo/DDPHENO_0000238,aberrant DNA mediated transformation,"Deviation from the normal, usual, or expected events during introduction and uptake of foreign genetic material (DNA or RNA)."
http://purl.obolibrary.org/obo/DDPHENO_0000532,increased number of contractile vacuoles,Quantitative increase in contractile vacuoles.
http://purl.obolibrary.org/obo/DDPHENO_0001182,decreased spore size,Decrease in relative or proportionate dimensions of the spore.
http://purl.obolibrary.org/obo/DDPHENO_0000073,decreased localization to microtubule organizing center,Reduction in amount or accumulation at the microtubule organizing center.
http://purl.obolibrary.org/obo/DDPHENO_0001107,increased lysosomal enzyme activity,"Increase in extent, amount, or degree of activity of lysosomal enzyme."
http://purl.obolibrary.org/obo/DDPHENO_0000545,increased iron ion transport,"Increase in extent, amount, or degree of transport of iron."
http://purl.obolibrary.org/obo/DDPHENO_0001401,decreased protein localization to microtubule organizing center,Reduction in amount or accumulation of a protein to the microtubule organizing center.
http://purl.obolibrary.org/obo/DDPHENO_0001195,decreased infection rate by a microorganism,"Reduction in extent, amount, or degree of the infection rate by a microorganism."
http://purl.obolibrary.org/obo/DDPHENO_0000086,decreased localization to nucleus,Reduction in amount or accumulation in the nucleus.
http://purl.obolibrary.org/obo/DDPHENO_0000558,aberrant pore formation during contractile vacuole discharge,"Deviation from the normal, usual, or expected events during pore formation, part of contractile vacuole discharge."
http://purl.obolibrary.org/obo/DDPHENO_0001414,increased protein localization to pseudopodium,Increase in amount or accumulation of a protein in pseudopodia.
http://purl.obolibrary.org/obo/DDPHENO_0000305,abolished down-regulation of growth phase genes,Complete inability to down-regulate growth pahse genes during development.
http://purl.obolibrary.org/obo/DDPHENO_0000099,decreased chemotaxis rate,"Reduction in extent, amount, or degree of chemotaxis rate during the locomotory response to a chemical concentration gradient."
http://purl.obolibrary.org/obo/DDPHENO_0000393,decreased cell-substrate adhesion,"Reduction in extent, amount, or degree of cell-substrate adhesion."
http://purl.obolibrary.org/obo/DDPHENO_0001427,aberrant protein localization to nuclear envelope,"Deviation from the normal, usual, or expected events during localization of a protein to the nuclear envelope."
http://purl.obolibrary.org/obo/DDPHENO_0000318,abolished tip formation,Complete inability to form a tip.
http://purl.obolibrary.org/obo/DDPHENO_0001262,aberrant adaptation of signaling pathway,"Deviation from the normal, usual, or expected events during the adaptation of a signaling pathway."
http://purl.obolibrary.org/obo/DDPHENO_0000153,decreased chemorepellant activity,"Reduction in extent, amount, or degree of  chemorepellant activity."
http://purl.obolibrary.org/obo/DDPHENO_0001275,aberrant engulfment during phagocytosis,"Deviation from the normal, usual, or expected events during engulfment of attached, recognized, external material."
http://purl.obolibrary.org/obo/DDPHENO_0000166,decreased sorus size,Reduction in relative or proportionate dimensions of the sorus.
http://purl.obolibrary.org/obo/DDPHENO_0001022,aberrant positive regulation of stalk cell differentiation,"Deviation from the normal, usual, or expected events during positive regulation of stalk cell differentiation."
http://purl.obolibrary.org/obo/DDPHENO_0001288,decreased guanylyl cyclase activity,"Reduction in extent, amount, or degree of guanylyl cyclase activity."
http://purl.obolibrary.org/obo/DDPHENO_0001035,aberrant response to heat,"Deviation from the normal, usual, or expected events during the response to heat."
http://purl.obolibrary.org/obo/DDPHENO_0000473,increased cell polarity,"Increase in extent, amount, or degree of cell polarity."
http://purl.obolibrary.org/obo/DDPHENO_0001507,aberrant protein localization to cell cortex,"Deviation from the normal, usual, or expected events during localization of a protein to the cell cortex."
http://purl.obolibrary.org/obo/DDPHENO_0001048,aberrant cell projection biogenesis,"Deviation from the normal, usual, or expected events during cell projection biogenesis."
http://purl.obolibrary.org/obo/DDPHENO_0000486,increased resistance to spectinomycin,"Increase in extent, amount, or degree of resistance to the antibiotic spectinomycin."
http://purl.obolibrary.org/obo/DDPHENO_0001342,aberrant protein phosphorylation,"Deviation from the normal, usual, or expected events during phosphorylation of a protein."
http://purl.obolibrary.org/obo/DDPHENO_0000233,aberrant contractile vacuole organization and biogenesis,"Deviation from the normal, usual, or expected organization and biogenesis of the contractile vacuole."
http://purl.obolibrary.org/obo/DDPHENO_0000499,abolished cell-substrate adhesion,Complete inability for cell-substrate adhesion.
http://purl.obolibrary.org/obo/DDPHENO_0001355,decreased basal disc size,Reduction in relative or proportionate dimensions of the basal disc.
http://purl.obolibrary.org/obo/DDPHENO_0000246,decreased single-strand break repair,"Reduction in extent, amount, or degree of single-strand break repair of DNA."
http://purl.obolibrary.org/obo/DDPHENO_0001102,abolished chemotaxis to folate,Complete inability for chemotaxis in response to folate.
http://purl.obolibrary.org/obo/DDPHENO_0000540,increased pseudopod size,Increase in relative or proportionate dimensions of the pseudopod.
http://purl.obolibrary.org/obo/DDPHENO_0001190,increased macroautophagy,"Increase in extent, amount, or degree of macroautophagy."
http://purl.obolibrary.org/obo/DDPHENO_0000081,increased localization to nuclear envelope,Increase in amount or accumulation at the nuclear envelope.
http://purl.obolibrary.org/obo/DDPHENO_0001368,abolished upper cup formation,Complete inability to form an upper cup.
http://purl.obolibrary.org/obo/DDPHENO_0001115,delayed gene expression,Late onset or slower progression in the expression of genes.
http://purl.obolibrary.org/obo/DDPHENO_0000006,increased autophagy,"Increase in extent, amount, or degree of autophagy."
http://purl.obolibrary.org/obo/DDPHENO_0000553,aberrant establishment of contractile vacuole localization,"Deviation from the normal, usual, or expected establishment of contractile vacuole localization."
http://purl.obolibrary.org/obo/DDPHENO_0000300,decreased gene expression,"Reduction in extent, amount, or degree of gene expression."
http://purl.obolibrary.org/obo/DDPHENO_0001422,aberrant sister chromosome segregation,"Deviation from the normal, usual, or expected events during sister chromosome segragation, resulting in an abnormal number of chromosomes."
http://purl.obolibrary.org/obo/DDPHENO_0001128,decreased thermotaxis,"Reduction in extent, amount, or degree of thermotaxis."
http://purl.obolibrary.org/obo/DDPHENO_0000019,abolished culmination,Complete inability for culmination.
http://purl.obolibrary.org/obo/DDPHENO_0000566,aberrant lipid storage,"Deviation from the normal, usual, or expected storage of lipids."
http://purl.obolibrary.org/obo/DDPHENO_0000313,decreased MPBD production,"Reduction in extent, amount, or degree of production of MPBD, a polyketide."
http://purl.obolibrary.org/obo/DDPHENO_0000579,aberrant sensitivity to cheating,"Deviation from the normal, usual, or expected sorting when mixed with cheater cells."
http://purl.obolibrary.org/obo/DDPHENO_0001435,decreased histone deacetylase activity,"Reduction in extent, amount, or degree of histone deacetylase activity."
http://purl.obolibrary.org/obo/DDPHENO_0001270,increased non-apoptotic programmed cell death,"Increase in extent, amount, or degree of non-apoptotic programmed cell death."
http://purl.obolibrary.org/obo/DDPHENO_0000161,delayed culmination,Late onset or slower progression through culmination.
http://purl.obolibrary.org/obo/DDPHENO_0001448,decreased F-actin depolymerization,"Reduction in extent, amount, or degree of F-actin depolymerization."
http://purl.obolibrary.org/obo/DDPHENO_0001283,decreased protein kinase A activity,"Reduction in extent, amount, or degree of  protein kinase A activity."
http://purl.obolibrary.org/obo/DDPHENO_0001030,aberrant protein secretion,"Deviation from the normal, usual, or expected events during protein secretion."
http://purl.obolibrary.org/obo/DDPHENO_0001208,increased lysosome size,Increase in relative or proportionate dimensions of the lysosome.
http://purl.obolibrary.org/obo/DDPHENO_0001502,increased protein stabilization,"Increase in extent, amount, or degree of protein stabilization."
http://purl.obolibrary.org/obo/DDPHENO_0001296,abolished GTP-gamma-S-stimulated guanylyl cyclase activity,Complete absence of GTP-gamma-S-stimulated guanylyl cyclase activity.
http://purl.obolibrary.org/obo/DDPHENO_0000187,aberrant cell-substrate adhesion,"Deviation from the normal, usual, or expected events during cell-substrate adhesion."
http://purl.obolibrary.org/obo/DDPHENO_0001043,aberrant organelle organization and biogenesis,"Deviation from the normal, usual, or expected events during organelle organization and biogenesis."
http://purl.obolibrary.org/obo/DDPHENO_0000481,decreased phosphorylation of actin,"Reduction in extent, amount, or degree of phosphorylation of actin."
http://purl.obolibrary.org/obo/DDPHENO_0001515,aberrant mitochondrial fusion,"Deviation from the normal, usual, or expected events during mitochondrial fusion."
http://purl.obolibrary.org/obo/DDPHENO_0000406,increased cell size,Increase in relative or proportionate dimensions of the cell.
http://purl.obolibrary.org/obo/DDPHENO_0001056,decreased F-actin polymerization,"Reduction in extent, amount, or degree of F-actin polymerization."
http://purl.obolibrary.org/obo/DDPHENO_0000494,aberrant adaptation of adenylate cyclase,"Deviation from the normal, usual, or expected events during the adaptation of adenylate cyclase."
http://purl.obolibrary.org/obo/DDPHENO_0001350,decreased protein serine phosphorylation,Reduction in amount or accumulation of serine phosphorylation of a protein.
http://purl.obolibrary.org/obo/DDPHENO_0000241,abolished DNA mediated transformation,Complete inability for DNA mediated transformation.
http://purl.obolibrary.org/obo/DDPHENO_0001528,abolished prestalk U cell differentiation,Complete inability for differentiation of prestalk U cells.
http://purl.obolibrary.org/obo/DDPHENO_0001069,delayed response to hyperosmotic stress,Late onset or slower progression in the response to hyperosmotic stress.
http://purl.obolibrary.org/obo/DDPHENO_0001363,increased inner basal disc size,Increase in relative or proportionate dimensions of the inner basal disc.
http://purl.obolibrary.org/obo/DDPHENO_0000254,aberrant chemotaxis to calcium,"Deviation from the normal, usual, or expected events during the locomotory response guided by increasing chemical concentration of calcium."
http://purl.obolibrary.org/obo/DDPHENO_0001110,aberrant exocytosis,"Deviation from the normal, usual, or expected events during exocytosis."
http://purl.obolibrary.org/obo/DDPHENO_0000001,aberrant spore color,"Deviation from the normal, usual, or expected spore color."
http://purl.obolibrary.org/obo/DDPHENO_0001376,increased intracellular glycogen level,Increase in amount or accumulation of intracellular glycogen.
http://purl.obolibrary.org/obo/DDPHENO_0001123,increased phototaxis,"Increase in extent, amount, or degree of phototaxis."
http://purl.obolibrary.org/obo/DDPHENO_0000014,abolished microRNA processing,Complete inability for microRNA processing.
http://purl.obolibrary.org/obo/DDPHENO_0000561,decreased endosomal vesicle fusion,"Reduction in extent, amount, or degree of homotypic fusion of endocytic vesicles to form or add to an early endosome."
http://purl.obolibrary.org/obo/DDPHENO_0001389,aberrant protein localization to cytoplasm,"Deviation from the normal, usual, or expected events during localization of a protein to the cytoplasm."
http://purl.obolibrary.org/obo/DDPHENO_0001136,increased chemoattractant-mediated F-actin polymerization,"Increased in extent, amount, or degree of F-actin polymerization in response to chemoattractants."
http://purl.obolibrary.org/obo/DDPHENO_0000027,abolished phagosome re-neutralization,Complete inability for phagosome re-neutralization.
http://purl.obolibrary.org/obo/DDPHENO_0001430,increased protein localization to nuclear envelope,Increase in amount or accumulation of a protein in the nuclear envelope.
http://purl.obolibrary.org/obo/DDPHENO_0000321,aberrant cellulose binding,"Deviation from the normal, usual, or expected binding  of cellulose."
http://purl.obolibrary.org/obo/DDPHENO_0001149,decreased positive regulation of Ran GTPase activity,"Reduction in extent, amount, or degree of positive regulation of Ran GTPase activity."
http://purl.obolibrary.org/obo/DDPHENO_0001443,aberrant cell fate determination,"Deviation from the normal, usual, or expected events when determining cells for a specific fate regardless of its environment."
http://purl.obolibrary.org/obo/DDPHENO_0000334,abolished folic acid binding,Complete absence of folic acid binding.
http://purl.obolibrary.org/obo/DDPHENO_0001456,aberrant response to cisplatin,"Deviation from the normal, usual, or expected events during the response to cisplatin."
http://purl.obolibrary.org/obo/DDPHENO_0000347,abolished protein kinase activity,Complete absence of protein kinase activity.
http://purl.obolibrary.org/obo/DDPHENO_0001203,aberrant response to nutrients,"Deviation from the normal, usual, or expected events during the response to nutrients."
http://purl.obolibrary.org/obo/DDPHENO_0001291,"abolished 3',5'-cyclic-GMP phosphodiesterase activity","Complete absence of 3',5'-cyclic-GMP phosphodiesterase activity."
http://purl.obolibrary.org/obo/DDPHENO_0001469,aberrant centromere complex assembly,"Deviation from the normal, usual, or expected events during centromere complex assembly."
http://purl.obolibrary.org/obo/DDPHENO_0001216,increased calcium-independent cell-cell adhesion,"Increase in extent, amount, or degree of calcium-independent cell-cell adhesion."
http://purl.obolibrary.org/obo/DDPHENO_0001510,increased protein localization to cell cortex,Increase in amount or accumulation of a protein to the cell cortex.
http://purl.obolibrary.org/obo/DDPHENO_0000195,decreased stalk cell differentiation,"Reduction in extent, amount, or degree of differentiation into stalk cells."
http://purl.obolibrary.org/obo/DDPHENO_0001051,abolished chemotaxis during aggregation,Complete inability for chemotaxis during aggregation.
http://purl.obolibrary.org/obo/DDPHENO_0001229,"decreased 3',5'-cyclic-AMP phosphodiesterase activity","Reduction in extent, amount, or degree of 3',5'-cyclic-AMP phosphodiesterase activity."
